# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:35:08 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
#
pl_name	hostname	st_teff	st_tefferr1	st_tefferr2	st_tefflim	st_rad	st_raderr1	st_raderr2	st_mass	st_masserr1	st_masserr2	st_masslim	st_rotp	st_rotperr1	st_rotperr2	st_rotplim
Kepler-336 c	Kepler-336	5865.00	105.00	-117.00	0	1.27	0.21	-0.21	1.09	0.09	-0.09	0				
Kepler-336 d	Kepler-336	5867.00	100.00	-100.00	0	1.30	0.23	-0.23								
Kepler-336 d	Kepler-336	6029.00	153.00	-165.00	0	0.86	0.37	-0.07	0.94	0.11	-0.11	0				
Kepler-336 d	Kepler-336	5956.94	48.72	-48.72	0											
Kepler-336 d	Kepler-336	6064.00	75.00	-75.00	0	0.96	0.31	-0.31	1.06	0.06	-0.06	0				
Kepler-336 d	Kepler-336	5956.94	48.72	-48.72	0											
Kepler-336 d	Kepler-336	5865.00	105.00	-117.00	0	1.27	0.21	-0.21	1.09	0.09	-0.09	0				
Kepler-336 d	Kepler-336	6029.00	153.00	-165.00	0	0.86	0.37	-0.07	0.94	0.11	-0.11	0				
Kepler-336 d	Kepler-336	5956.94	48.72	-48.72	0											
Kepler-336 d	Kepler-336	6029.00	153.00	-165.00	0	0.86	0.37	-0.07	0.94	0.11	-0.11	0				
Kepler-336 d	Kepler-336	5911.00	84.23	-76.10	0	1.21	0.18	-0.14	1.09	0.06	-0.04	0				
Kepler-337 b	Kepler-337	5684.00	175.00	-175.00	0	1.76	0.48	-0.48								
Kepler-337 b	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 b	Kepler-337	5900.00	79.00	-79.00	0	1.46	0.38	-0.38	1.02	0.10	-0.10	0				
Kepler-337 b	Kepler-337	5683.00	115.00	-104.00	0	1.47	0.23	-0.34	1.01	0.09	-0.08	0				
Kepler-337 b	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 b	Kepler-337	5763.00	67.36	-72.98	0	1.38	0.28	-0.24	1.05	0.08	-0.05	0				
Kepler-337 b	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 b	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 b	Kepler-337	5634.00	113.00	-113.00	0	1.82	0.08	-0.08								
Kepler-337 b	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 b	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 c	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 c	Kepler-337	5634.00	113.00	-113.00	0	1.82	0.08	-0.08								
Kepler-337 c	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 c	Kepler-337	5684.00	175.00	-175.00	0	1.76	0.48	-0.48								
Kepler-337 c	Kepler-337	5683.00	115.00	-104.00	0	1.47	0.23	-0.34	1.01	0.09	-0.08	0				
Kepler-337 c	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 c	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 c	Kepler-337	5684.00	108.00	-102.00	0	1.42	0.23	-0.26	0.97	0.09	-0.07	0				
Kepler-337 c	Kepler-337	5763.00	67.36	-72.98	0	1.38	0.28	-0.24	1.05	0.08	-0.05	0				
Kepler-337 c	Kepler-337	5694.42	150.90	-133.72	0	1.79	0.09	-0.12	1.01	0.15	-0.11	0				
Kepler-337 c	Kepler-337	5900.00	79.00	-79.00	0	1.46	0.38	-0.38	1.02	0.10	-0.10	0				
Kepler-338 b	Kepler-338	5898.00	118.00	-118.00	0	1.77	0.08	-0.07								
Kepler-338 b	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 b	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08								
Kepler-338 b	Kepler-338	5897.00	57.00	-57.00	0	1.51	0.20	-0.20	1.10	0.07	-0.07	0				
Kepler-338 b	Kepler-338	5999.00	56.42	-52.55	0	1.78	0.08	-0.08	1.20	0.06	-0.04	0				
Kepler-338 b	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 b	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 b	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 b	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 b	Kepler-338	5951.00	80.00	-80.00	0	1.69	0.12	-0.09	1.09	0.09	-0.07	0				
Kepler-338 b	Kepler-338					1.74			1.14			0				
Kepler-338 b	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 b	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 c	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 c	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 c	Kepler-338	5999.00	56.42	-52.55	0	1.78	0.08	-0.08	1.20	0.06	-0.04	0				
Kepler-338 c	Kepler-338	5951.00	80.00	-80.00	0	1.69	0.12	-0.09	1.09	0.09	-0.07	0				
Kepler-338 c	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08								
Kepler-338 c	Kepler-338	5898.00	118.00	-118.00	0	1.77	0.08	-0.07								
Kepler-338 c	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 c	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 c	Kepler-338	5897.00	57.00	-57.00	0	1.51	0.20	-0.20	1.10	0.07	-0.07	0				
Kepler-338 c	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 c	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 c	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 d	Kepler-338	5897.00	57.00	-57.00	0	1.51	0.20	-0.20	1.10	0.07	-0.07	0				
Kepler-338 d	Kepler-338	5951.00	80.00	-80.00	0	1.69	0.12	-0.09	1.09	0.09	-0.07	0				
Kepler-338 d	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 d	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 d	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 d	Kepler-338	5999.00	56.42	-52.55	0	1.78	0.08	-0.08	1.20	0.06	-0.04	0				
Kepler-338 d	Kepler-338	5898.00	118.00	-118.00	0	1.77	0.08	-0.07								
Kepler-338 d	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 d	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 d	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 d	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08								
Kepler-338 d	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 e	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 e	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 e	Kepler-338	5898.00	118.00	-118.00	0	1.77	0.08	-0.07								
Kepler-338 e	Kepler-338					1.74			1.14			0				
Kepler-338 e	Kepler-338	5860.88	107.25	-169.87	0	1.90	0.13	-0.08	1.06	0.17	-0.11	0				
Kepler-338 e	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 e	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 e	Kepler-338	5923.00	77.00	-77.00	0	1.74	0.08	-0.08	1.14	0.08	-0.08	0				
Kepler-338 e	Kepler-338	5897.00	57.00	-57.00	0	1.51	0.20	-0.20	1.10	0.07	-0.07	0				
Kepler-338 e	Kepler-338	5951.00	80.00	-80.00	0	1.69	0.12	-0.09	1.09	0.09	-0.07	0				
Kepler-338 e	Kepler-338	5999.00	56.42	-52.55	0	1.78	0.08	-0.08	1.20	0.06	-0.04	0				
Kepler-339 b	Kepler-339	5639.00	72.00	-72.00	0	0.83	0.27	-0.27	0.93	0.04	-0.04	0				
Kepler-339 b	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 b	Kepler-339	5571.00	87.40	-93.68	0	0.90	0.11	-0.06	0.93	0.04	-0.05	0				
Kepler-339 b	Kepler-339	5631.00	200.00	-200.00	0	0.80	0.36	-0.36								
Kepler-339 b	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 b	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 b	Kepler-339	5446.00	109.00	-109.00	0	0.78	0.04	-0.03								
Kepler-339 b	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 b	Kepler-339	5353.00	80.00	-72.00	0	1.02	0.14	-0.14	0.87	0.06	-0.03	0				
Kepler-339 b	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 b	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 c	Kepler-339	5353.00	80.00	-72.00	0	1.02	0.14	-0.14	0.87	0.06	-0.03	0				
Kepler-339 c	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 c	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 c	Kepler-339	5446.00	109.00	-109.00	0	0.78	0.04	-0.03								
Kepler-339 c	Kepler-339	5631.00	200.00	-200.00	0	0.80	0.36	-0.36								
Kepler-339 c	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 c	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 c	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 c	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 c	Kepler-339	5571.00	87.40	-93.68	0	0.90	0.11	-0.06	0.93	0.04	-0.05	0				
Kepler-339 c	Kepler-339	5639.00	72.00	-72.00	0	0.83	0.27	-0.27	0.93	0.04	-0.04	0				
Kepler-339 c	Kepler-339					0.81			0.88			0				
Kepler-339 d	Kepler-339	5353.00	80.00	-72.00	0	1.02	0.14	-0.14	0.87	0.06	-0.03	0				
Kepler-339 d	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 d	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 d	Kepler-339	5639.00	72.00	-72.00	0	0.83	0.27	-0.27	0.93	0.04	-0.04	0				
Kepler-339 d	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 d	Kepler-339	5631.00	200.00	-200.00	0	0.80	0.36	-0.36								
Kepler-339 d	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-339 d	Kepler-339	5495.56	35.58	-35.58	0	0.77			0.96			0				
Kepler-339 d	Kepler-339					0.81			0.88			0				
Kepler-339 d	Kepler-339	5446.00	109.00	-109.00	0	0.78	0.04	-0.03								
Kepler-339 d	Kepler-339	5571.00	87.40	-93.68	0	0.90	0.11	-0.06	0.93	0.04	-0.05	0				
Kepler-339 d	Kepler-339	5627.00	158.00	-139.00	0	0.81	0.32	-0.06	0.88	0.10	-0.09	0				
Kepler-34 b	Kepler-34	5913.00	130.00	-130.00	0	1.16	0.00	0.00	1.05	0.00	0.00	0				
Kepler-340 b	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 b	Kepler-340	6620.00	376.00	-376.00	0	1.85	0.42	-0.42								
Kepler-340 b	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 b	Kepler-340	7852.93	245.11	-220.29	0	1.47	0.09	-0.08	1.87	0.38	-0.23	0				
Kepler-340 b	Kepler-340	6642.00	105.00	-157.00	0	1.85	0.33	-0.40	1.42	0.11	-0.16	0				
Kepler-340 b	Kepler-340	7115.00	59.28	-60.10	0	2.08	0.29	-0.23	1.65	0.10	-0.08	0				
Kepler-340 b	Kepler-340	6620.00	132.00	-132.00	0	1.68	0.08	-0.08								
Kepler-340 b	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 c	Kepler-340	8229.00	200.00	-200.00	0	2.83	0.86	-0.86	2.09	0.24	-0.24	0				
Kepler-340 c	Kepler-340	7852.93	245.11	-220.29	0	1.47	0.09	-0.08	1.87	0.38	-0.23	0				
Kepler-340 c	Kepler-340	6620.00	132.00	-132.00	0	1.68	0.08	-0.08								
Kepler-340 c	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 c	Kepler-340	7852.93	245.11	-220.29	0	1.47	0.09	-0.08	1.87	0.38	-0.23	0				
Kepler-340 c	Kepler-340	7115.00	59.28	-60.10	0	2.08	0.29	-0.23	1.65	0.10	-0.08	0				
Kepler-340 c	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 c	Kepler-340	8241.00	226.00	-345.00	0	3.18	0.70	-1.11	2.05	0.36	-0.40	0				
Kepler-340 c	Kepler-340	6620.00	376.00	-376.00	0	1.85	0.42	-0.42								
Kepler-340 c	Kepler-340	6642.00	105.00	-157.00	0	1.85	0.33	-0.40	1.42	0.11	-0.16	0				
Kepler-341 b	Kepler-341	5616.00	76.00	-76.00	0	1.11	0.16	-0.16	0.96	0.07	-0.05	0				
Kepler-341 b	Kepler-341	6000.00	100.00	-100.00	0	1.01	0.40	-0.40	1.01	0.08	-0.08	0				
Kepler-341 b	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 b	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 b	Kepler-341	5722.00	114.00	-114.00	0	1.21	0.06	-0.05								
Kepler-341 b	Kepler-341	5755.00	81.93	-102.57	0	0.99	0.28	-0.09	1.00	0.05	-0.05	0				
Kepler-341 b	Kepler-341	6012.00	200.00	-200.00	0	1.02	0.52	-0.52								
Kepler-341 b	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 b	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 b	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 c	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 c	Kepler-341	5722.00	114.00	-114.00	0	1.21	0.06	-0.05								
Kepler-341 c	Kepler-341	5755.00	81.93	-102.57	0	0.99	0.28	-0.09	1.00	0.05	-0.05	0				
Kepler-341 c	Kepler-341	5616.00	76.00	-76.00	0	1.11	0.16	-0.16	0.96	0.07	-0.05	0				
Kepler-341 c	Kepler-341	6000.00	100.00	-100.00	0	1.01	0.40	-0.40	1.01	0.08	-0.08	0				
Kepler-341 c	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 c	Kepler-341	6012.00	200.00	-200.00	0	1.02	0.52	-0.52								
Kepler-341 c	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 c	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 c	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 c	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 d	Kepler-341	5616.00	76.00	-76.00	0	1.11	0.16	-0.16	0.96	0.07	-0.05	0				
Kepler-341 d	Kepler-341	6012.00	200.00	-200.00	0	1.02	0.52	-0.52								
Kepler-341 d	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 d	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 d	Kepler-341	6000.00	100.00	-100.00	0	1.01	0.40	-0.40	1.01	0.08	-0.08	0				
Kepler-341 d	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 d	Kepler-341	5755.00	81.93	-102.57	0	0.99	0.28	-0.09	1.00	0.05	-0.05	0				
Kepler-341 d	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 d	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 d	Kepler-341	5722.00	114.00	-114.00	0	1.21	0.06	-0.05								
Kepler-341 d	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 e	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 e	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 e	Kepler-341	5616.00	76.00	-76.00	0	1.11	0.16	-0.16	0.96	0.07	-0.05	0				
Kepler-341 e	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 e	Kepler-341	5755.00	81.93	-102.57	0	0.99	0.28	-0.09	1.00	0.05	-0.05	0				
Kepler-341 e	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-341 e	Kepler-341	6012.00	200.00	-200.00	0	1.02	0.52	-0.52								
Kepler-341 e	Kepler-341	5722.00	114.00	-114.00	0	1.21	0.06	-0.05								
Kepler-341 e	Kepler-341	6000.00	100.00	-100.00	0	1.01	0.40	-0.40	1.01	0.08	-0.08	0				
Kepler-341 e	Kepler-341	6008.00	156.00	-183.00	0	1.00	0.40	-0.11	1.00	0.15	-0.12	0				
Kepler-341 e	Kepler-341	5669.00	122.00	-122.00	0	1.20			1.01			0				
Kepler-342 b	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 b	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 b	Kepler-342	6297.00	113.00	-126.00	0	1.37	0.23	-0.19	1.25	0.09	-0.11	0				
Kepler-342 b	Kepler-342	6272.00	125.00	-125.00	0	1.39	0.06	-0.06								
Kepler-342 b	Kepler-342	6366.00	76.03	-66.63	0	1.34	0.12	-0.08	1.26	0.05	-0.04	0				
Kepler-342 b	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 b	Kepler-342	6464.00	75.00	-75.00	0	1.12	0.47	-0.47	1.19	0.11	-0.11	0				
Kepler-342 b	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 b	Kepler-342	6175.00	100.00	-100.00	0	1.47	0.26	-0.26								
Kepler-342 b	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 b	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 c	Kepler-342	6175.00	100.00	-100.00	0	1.47	0.26	-0.26								
Kepler-342 c	Kepler-342	6366.00	76.03	-66.63	0	1.34	0.12	-0.08	1.26	0.05	-0.04	0				
Kepler-342 c	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 c	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 c	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 c	Kepler-342	6272.00	125.00	-125.00	0	1.39	0.06	-0.06								
Kepler-342 c	Kepler-342	6297.00	113.00	-126.00	0	1.37	0.23	-0.19	1.25	0.09	-0.11	0				
Kepler-342 c	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 c	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 d	Kepler-342	6272.00	125.00	-125.00	0	1.39	0.06	-0.06								
Kepler-342 d	Kepler-342	6297.00	113.00	-126.00	0	1.37	0.23	-0.19	1.25	0.09	-0.11	0				
Kepler-342 d	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 d	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 d	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 d	Kepler-342	6464.00	75.00	-75.00	0	1.12	0.47	-0.47	1.19	0.11	-0.11	0				
Kepler-342 d	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 d	Kepler-342	6366.00	76.03	-66.63	0	1.34	0.12	-0.08	1.26	0.05	-0.04	0				
Kepler-342 d	Kepler-342	6175.00	100.00	-100.00	0	1.47	0.26	-0.26								
Kepler-342 d	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 e	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 e	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 e	Kepler-342	6475.00	144.00	-224.00	0	1.18	0.56	-0.15	1.20	0.23	-0.19	0				
Kepler-342 e	Kepler-342	6297.00	113.00	-126.00	0	1.37	0.23	-0.19	1.25	0.09	-0.11	0				
Kepler-342 e	Kepler-342	6272.00	125.00	-125.00	0	1.39	0.06	-0.06								
Kepler-342 e	Kepler-342	6139.09	97.11	-170.37	0	1.49	0.09	-0.07	1.16	0.15	-0.14	0				
Kepler-342 e	Kepler-342	6366.00	76.03	-66.63	0	1.34	0.12	-0.08	1.26	0.05	-0.04	0				
Kepler-343 b	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 b	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 b	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 b	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 b	Kepler-343	5808.00	105.00	-117.00	0	1.37	0.22	-0.25	1.05	0.10	-0.08	0				
Kepler-343 b	Kepler-343	5860.00	80.40	-70.78	0	1.30	0.22	-0.19	1.08	0.07	-0.04	0				
Kepler-343 b	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 b	Kepler-343	6111.00	133.00	-133.00	0	1.06	0.46	-0.46	1.05	0.13	-0.13	0				
Kepler-343 b	Kepler-343	5807.00	100.00	-100.00	0	1.43	0.26	-0.26								
Kepler-343 b	Kepler-343	5781.00	116.00	-116.00	0	1.23	0.06	-0.06								
Kepler-343 b	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 c	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 c	Kepler-343	5807.00	100.00	-100.00	0	1.43	0.26	-0.26								
Kepler-343 c	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 c	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 c	Kepler-343	5860.00	80.40	-70.78	0	1.30	0.22	-0.19	1.08	0.07	-0.04	0				
Kepler-343 c	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 c	Kepler-343	5750.81	118.84	-118.84	0	1.29			1.03			0				
Kepler-343 c	Kepler-343	5808.00	105.00	-117.00	0	1.37	0.22	-0.25	1.05	0.10	-0.08	0				
Kepler-343 c	Kepler-343	6122.00	168.00	-214.00	0	1.05	0.46	-0.12	1.02	0.19	-0.12	0				
Kepler-343 c	Kepler-343	5781.00	116.00	-116.00	0	1.23	0.06	-0.06								
Kepler-344 b	Kepler-344	5349.15	127.95	-127.95	0	0.94			0.92			0				
Kepler-344 b	Kepler-344	5459.00	109.00	-109.00	0	0.88	0.05	-0.05								
Kepler-344 b	Kepler-344	5774.00	164.00	-163.00	0	0.96	0.38	-0.10	0.94	0.12	-0.09	0				
