# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:33:05 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rotp:        Stellar Rotational Period [days]
#
pl_name,hostname,st_teff,st_rad,st_mass,st_rotp
Kepler-282 c,Kepler-282,5848.00,1.10,1.06,
Kepler-282 c,Kepler-282,6102.00,0.89,0.97,
Kepler-282 c,Kepler-282,6144.00,0.99,1.08,
Kepler-282 c,Kepler-282,5600.00,0.87,0.79,
Kepler-282 c,Kepler-282,5656.00,1.16,,
Kepler-282 c,Kepler-282,5602.00,0.90,,
Kepler-282 c,Kepler-282,5848.00,1.10,1.06,
Kepler-282 c,Kepler-282,5699.00,0.89,0.90,
Kepler-282 c,Kepler-282,6102.00,0.89,0.97,
Kepler-282 d,Kepler-282,5600.00,0.87,0.79,
Kepler-282 d,Kepler-282,5656.00,1.16,,
Kepler-282 d,Kepler-282,5848.00,1.10,1.06,
Kepler-282 d,Kepler-282,6144.00,0.99,1.08,
Kepler-282 d,Kepler-282,6102.00,0.89,0.97,
Kepler-282 d,Kepler-282,5848.00,1.10,1.06,
Kepler-282 d,Kepler-282,6102.00,0.89,0.97,
Kepler-282 d,Kepler-282,5848.00,1.10,1.06,
Kepler-282 d,Kepler-282,5699.00,0.89,0.90,
Kepler-282 d,Kepler-282,,0.89,0.97,
Kepler-282 d,Kepler-282,6102.00,0.89,0.97,
Kepler-282 e,Kepler-282,5600.00,0.87,0.79,
Kepler-282 e,Kepler-282,,0.89,0.97,
Kepler-282 e,Kepler-282,5848.00,1.10,1.06,
Kepler-282 e,Kepler-282,6102.00,0.89,0.97,
Kepler-282 e,Kepler-282,5699.00,0.89,0.90,
Kepler-282 e,Kepler-282,6144.00,0.99,1.08,
Kepler-282 e,Kepler-282,5848.00,1.10,1.06,
Kepler-282 e,Kepler-282,5656.00,1.16,,
Kepler-282 e,Kepler-282,6102.00,0.89,0.97,
Kepler-282 e,Kepler-282,5848.00,1.10,1.06,
Kepler-282 e,Kepler-282,6102.00,0.89,0.97,
Kepler-283 b,Kepler-283,4250.00,0.63,0.66,
Kepler-283 b,Kepler-283,4250.00,0.63,0.66,
Kepler-283 b,Kepler-283,5189.00,0.72,0.76,
Kepler-283 b,Kepler-283,5189.00,0.72,0.76,
Kepler-283 b,Kepler-283,4141.00,0.63,0.66,
Kepler-283 b,Kepler-283,4141.00,0.64,,
Kepler-283 b,Kepler-283,5189.00,0.72,0.76,
Kepler-283 b,Kepler-283,5189.00,0.72,0.76,
Kepler-283 b,Kepler-283,4251.00,0.60,0.63,
Kepler-283 b,Kepler-283,4351.00,0.57,,
Kepler-283 b,Kepler-283,4141.00,0.58,0.60,
Kepler-283 b,Kepler-283,4327.00,0.57,0.60,
Kepler-283 b,Kepler-283,4250.00,0.63,0.66,
Kepler-283 c,Kepler-283,5189.00,0.72,0.76,
Kepler-283 c,Kepler-283,4250.00,0.63,0.66,
Kepler-283 c,Kepler-283,4250.00,0.63,0.66,
Kepler-283 c,Kepler-283,4251.00,0.60,0.63,
Kepler-283 c,Kepler-283,5189.00,0.72,0.76,
Kepler-283 c,Kepler-283,5189.00,0.72,0.76,
Kepler-283 c,Kepler-283,4250.00,0.63,0.66,
Kepler-283 c,Kepler-283,4351.00,0.57,,
Kepler-283 c,Kepler-283,4141.00,0.64,,
Kepler-283 c,Kepler-283,4327.00,0.57,0.60,
Kepler-283 c,Kepler-283,4141.00,0.58,0.60,
Kepler-283 c,Kepler-283,4141.00,0.63,0.66,
Kepler-284 b,Kepler-284,5366.00,0.78,0.93,
Kepler-284 b,Kepler-284,5615.00,0.81,,
Kepler-284 b,Kepler-284,5291.00,0.88,0.88,
Kepler-284 b,Kepler-284,5366.00,0.78,0.93,
Kepler-284 b,Kepler-284,5487.00,0.87,0.91,
Kepler-284 b,Kepler-284,5614.00,0.83,0.91,
Kepler-284 b,Kepler-284,5366.00,0.78,0.93,
Kepler-284 b,Kepler-284,5614.00,0.83,0.91,
Kepler-284 b,Kepler-284,5614.00,0.83,0.91,
Kepler-284 b,Kepler-284,5603.00,0.82,0.92,
Kepler-284 b,Kepler-284,5219.00,0.77,,
Kepler-284 c,Kepler-284,5291.00,0.88,0.88,
Kepler-284 c,Kepler-284,5614.00,0.83,0.91,
Kepler-284 c,Kepler-284,5603.00,0.82,0.92,
Kepler-284 c,Kepler-284,5366.00,0.78,0.93,
Kepler-284 c,Kepler-284,5487.00,0.87,0.91,
Kepler-284 c,Kepler-284,5615.00,0.81,,
Kepler-284 c,Kepler-284,5366.00,0.78,0.93,
Kepler-284 c,Kepler-284,5366.00,0.78,0.93,
Kepler-284 c,Kepler-284,5614.00,0.83,0.91,
Kepler-284 c,Kepler-284,5614.00,0.83,0.91,
Kepler-284 c,Kepler-284,5219.00,0.77,,
Kepler-285 b,Kepler-285,5400.00,0.80,0.90,
Kepler-285 b,Kepler-285,5400.00,0.80,0.90,
Kepler-285 b,Kepler-285,5400.00,0.80,0.90,
Kepler-285 b,Kepler-285,5411.00,0.81,,
Kepler-285 b,Kepler-285,5114.00,0.88,0.82,
Kepler-285 b,Kepler-285,5381.00,0.76,0.86,
Kepler-285 b,Kepler-285,5300.00,0.81,0.85,
Kepler-285 b,Kepler-285,5296.00,0.86,,
Kepler-285 b,Kepler-285,5282.00,0.87,0.91,
Kepler-285 b,Kepler-285,5282.00,0.87,0.91,
Kepler-285 c,Kepler-285,5296.00,0.86,,
Kepler-285 c,Kepler-285,5400.00,0.80,0.90,
Kepler-285 c,Kepler-285,5282.00,0.87,0.91,
Kepler-285 c,Kepler-285,5400.00,0.80,0.90,
Kepler-285 c,Kepler-285,5282.00,0.87,0.91,
Kepler-285 c,Kepler-285,5381.00,0.76,0.86,
Kepler-285 c,Kepler-285,5400.00,0.80,0.90,
Kepler-285 c,Kepler-285,5114.00,0.88,0.82,
Kepler-285 c,Kepler-285,5411.00,0.81,,
Kepler-285 c,Kepler-285,5300.00,0.81,0.85,
Kepler-286 b,Kepler-286,5742.00,0.91,0.96,
Kepler-286 b,Kepler-286,5576.00,0.83,0.80,
Kepler-286 b,Kepler-286,5969.00,0.93,1.03,
Kepler-286 b,Kepler-286,5600.00,0.93,0.99,
Kepler-286 b,Kepler-286,5559.00,0.88,,
Kepler-286 b,Kepler-286,5970.00,0.91,1.00,
Kepler-286 b,Kepler-286,5580.00,0.86,,
Kepler-286 b,Kepler-286,5600.00,0.93,0.99,
Kepler-286 b,Kepler-286,5970.00,0.91,1.00,
Kepler-286 b,Kepler-286,5970.00,0.91,1.00,
Kepler-286 c,Kepler-286,5600.00,0.93,0.99,
Kepler-286 c,Kepler-286,5576.00,0.83,0.80,
Kepler-286 c,Kepler-286,5580.00,0.86,,
Kepler-286 c,Kepler-286,5600.00,0.93,0.99,
Kepler-286 c,Kepler-286,5742.00,0.91,0.96,
Kepler-286 c,Kepler-286,5970.00,0.91,1.00,
Kepler-286 c,Kepler-286,5969.00,0.93,1.03,
Kepler-286 c,Kepler-286,5970.00,0.91,1.00,
Kepler-286 c,Kepler-286,5559.00,0.88,,
Kepler-286 c,Kepler-286,5970.00,0.91,1.00,
Kepler-286 d,Kepler-286,5969.00,0.93,1.03,
Kepler-286 d,Kepler-286,5559.00,0.88,,
Kepler-286 d,Kepler-286,5970.00,0.91,1.00,
Kepler-286 d,Kepler-286,5580.00,0.86,,
Kepler-286 d,Kepler-286,5742.00,0.91,0.96,
Kepler-286 d,Kepler-286,5970.00,0.91,1.00,
Kepler-286 d,Kepler-286,5600.00,0.93,0.99,
Kepler-286 d,Kepler-286,5970.00,0.91,1.00,
Kepler-286 d,Kepler-286,5600.00,0.93,0.99,
Kepler-286 d,Kepler-286,5576.00,0.83,0.80,
Kepler-286 e,Kepler-286,5576.00,0.83,0.80,
Kepler-286 e,Kepler-286,5970.00,0.91,1.00,
Kepler-286 e,Kepler-286,5600.00,0.93,0.99,
Kepler-286 e,Kepler-286,5742.00,0.91,0.96,
Kepler-286 e,Kepler-286,5970.00,0.91,1.00,
Kepler-286 e,Kepler-286,5580.00,0.86,,
Kepler-286 e,Kepler-286,5600.00,0.93,0.99,
Kepler-286 e,Kepler-286,5600.00,0.93,0.99,
Kepler-286 e,Kepler-286,5969.00,0.93,1.03,
Kepler-286 e,Kepler-286,5970.00,0.91,1.00,
Kepler-286 e,Kepler-286,5559.00,0.88,,
Kepler-287 b,Kepler-287,5806.00,1.03,,
Kepler-287 b,Kepler-287,5779.00,1.00,0.93,
Kepler-287 b,Kepler-287,5486.30,0.95,0.96,
Kepler-287 b,Kepler-287,5514.00,1.07,0.93,
Kepler-287 b,Kepler-287,5486.30,0.95,0.96,
Kepler-287 b,Kepler-287,5486.30,0.95,0.96,
Kepler-287 b,Kepler-287,5800.00,1.01,0.95,
Kepler-287 b,Kepler-287,5648.00,0.95,0.97,
Kepler-287 b,Kepler-287,5800.00,1.01,0.95,
Kepler-287 b,Kepler-287,5547.00,0.92,,
Kepler-287 b,Kepler-287,5800.00,1.01,0.95,
Kepler-287 c,Kepler-287,5486.30,0.95,0.96,
Kepler-287 c,Kepler-287,5806.00,1.03,,
Kepler-287 c,Kepler-287,5514.00,1.07,0.93,
Kepler-287 c,Kepler-287,5547.00,0.92,,
Kepler-287 c,Kepler-287,5800.00,1.01,0.95,
Kepler-287 c,Kepler-287,5486.30,0.95,0.96,
Kepler-287 c,Kepler-287,5648.00,0.95,0.97,
Kepler-287 c,Kepler-287,5800.00,1.01,0.95,
Kepler-287 c,Kepler-287,5779.00,1.00,0.93,
Kepler-287 c,Kepler-287,5800.00,1.01,0.95,
Kepler-288 b,Kepler-288,5698.00,1.07,,
Kepler-288 b,Kepler-288,5918.00,1.07,0.93,
Kepler-288 b,Kepler-288,5837.00,1.02,1.03,
Kepler-288 b,Kepler-288,5661.00,1.15,1.08,
Kepler-288 b,Kepler-288,5918.00,1.07,0.93,
Kepler-288 b,Kepler-288,5670.00,1.11,1.01,
Kepler-288 b,Kepler-288,5661.00,1.52,1.04,
Kepler-288 b,Kepler-288,5918.00,1.09,,
Kepler-288 b,Kepler-288,5918.00,1.07,0.93,
Kepler-288 b,Kepler-288,5670.00,1.11,1.01,
Kepler-288 c,Kepler-288,5661.00,1.52,1.04,
Kepler-288 c,Kepler-288,5918.00,1.09,,
Kepler-288 c,Kepler-288,5698.00,1.07,,
Kepler-288 c,Kepler-288,5918.00,1.07,0.93,
Kepler-288 c,Kepler-288,5670.00,1.11,1.01,
Kepler-288 c,Kepler-288,5918.00,1.07,0.93,
Kepler-288 c,Kepler-288,5661.00,1.15,1.08,
Kepler-288 c,Kepler-288,5918.00,1.07,0.93,
Kepler-288 c,Kepler-288,5670.00,1.11,1.01,
Kepler-288 c,Kepler-288,5670.00,1.11,1.01,
Kepler-288 c,Kepler-288,5837.00,1.02,1.03,
Kepler-288 d,Kepler-288,5918.00,1.07,0.93,
Kepler-288 d,Kepler-288,5661.00,1.52,1.04,
Kepler-288 d,Kepler-288,5837.00,1.02,1.03,
Kepler-288 d,Kepler-288,5918.00,1.07,0.93,
Kepler-288 d,Kepler-288,5918.00,1.09,,
Kepler-288 d,Kepler-288,5670.00,1.11,1.01,
Kepler-288 d,Kepler-288,5698.00,1.07,,
Kepler-288 d,Kepler-288,5918.00,1.07,0.93,
Kepler-288 d,Kepler-288,5661.00,1.15,1.08,
Kepler-288 d,Kepler-288,5670.00,1.11,1.01,
Kepler-289 b,Kepler-289,6001.00,1.13,1.08,
Kepler-289 b,Kepler-289,5930.00,1.16,,
Kepler-289 b,Kepler-289,5933.00,1.11,1.00,
Kepler-289 b,Kepler-289,5989.00,1.01,,
Kepler-289 b,Kepler-289,6279.00,1.60,1.16,
Kepler-289 b,Kepler-289,5968.88,1.06,1.10,
Kepler-289 b,Kepler-289,5968.88,1.06,1.10,
Kepler-289 b,Kepler-289,5968.88,1.06,1.10,
Kepler-289 b,Kepler-289,5990.00,1.00,1.08,
Kepler-289 b,Kepler-289,6279.00,1.60,1.16,
Kepler-289 b,Kepler-289,6279.00,1.60,1.16,
Kepler-289 b,Kepler-289,6260.00,1.64,1.17,
Kepler-289 c,Kepler-289,5968.88,1.06,1.10,
Kepler-289 c,Kepler-289,5990.00,1.00,1.08,
Kepler-289 c,Kepler-289,5968.88,1.06,1.10,
Kepler-289 c,Kepler-289,6279.00,1.60,1.16,
Kepler-289 c,Kepler-289,6326.00,1.46,1.35,
Kepler-289 c,Kepler-289,6279.00,1.60,1.16,
Kepler-289 c,Kepler-289,5933.00,1.11,1.00,
Kepler-289 c,Kepler-289,6279.00,1.60,1.16,
Kepler-289 c,Kepler-289,6001.00,1.13,1.08,
Kepler-289 c,Kepler-289,6260.00,1.64,1.17,
Kepler-289 c,Kepler-289,5930.00,1.16,,
Kepler-289 c,Kepler-289,5989.00,1.01,,
Kepler-289 d,Kepler-289,5990.00,1.00,1.08,
Kepler-29 b,Kepler-29,5358.15,0.82,0.93,
Kepler-29 b,Kepler-29,5966.00,0.92,1.03,
Kepler-29 b,Kepler-29,5358.15,0.82,0.93,
Kepler-29 b,Kepler-29,5750.00,0.96,1.00,
Kepler-29 b,Kepler-29,5730.00,0.87,0.97,
Kepler-29 b,Kepler-29,5378.00,0.75,,
Kepler-29 b,Kepler-29,5701.00,0.93,0.98,
Kepler-29 b,Kepler-29,5358.15,0.82,0.93,
Kepler-29 b,Kepler-29,5716.00,0.87,0.97,
Kepler-29 b,Kepler-29,5716.00,0.87,0.97,
Kepler-29 b,Kepler-29,5716.00,0.87,0.97,
Kepler-29 b,Kepler-29,5378.00,0.73,0.76,
Kepler-29 c,Kepler-29,5716.00,0.87,0.97,
Kepler-29 c,Kepler-29,5358.15,0.82,0.93,
Kepler-29 c,Kepler-29,5750.00,0.96,1.00,
Kepler-29 c,Kepler-29,5716.00,0.87,0.97,
Kepler-29 c,Kepler-29,5701.00,0.93,0.98,
Kepler-29 c,Kepler-29,5358.15,0.82,0.93,
Kepler-29 c,Kepler-29,5730.00,0.87,0.97,
Kepler-29 c,Kepler-29,5378.00,0.75,,
Kepler-29 c,Kepler-29,5378.00,0.73,0.76,
Kepler-29 c,Kepler-29,5966.00,0.92,1.03,
Kepler-29 c,Kepler-29,5716.00,0.87,0.97,
Kepler-29 c,Kepler-29,5358.15,0.82,0.93,
Kepler-290 b,Kepler-290,4881.00,0.71,0.80,
Kepler-290 b,Kepler-290,5153.00,0.76,0.85,
Kepler-290 b,Kepler-290,4958.00,0.75,0.79,
Kepler-290 b,Kepler-290,4881.00,0.71,0.80,
Kepler-290 b,Kepler-290,5115.00,0.70,0.80,
Kepler-290 b,Kepler-290,4881.00,0.71,0.80,
Kepler-290 b,Kepler-290,4962.00,0.71,,
Kepler-290 b,Kepler-290,5153.00,0.76,0.85,
Kepler-290 b,Kepler-290,5153.00,0.76,0.85,
Kepler-290 b,Kepler-290,5142.00,0.76,0.84,
Kepler-290 b,Kepler-290,5147.00,0.74,,
Kepler-290 c,Kepler-290,4881.00,0.71,0.80,
Kepler-290 c,Kepler-290,5115.00,0.70,0.80,
Kepler-290 c,Kepler-290,4881.00,0.71,0.80,
Kepler-290 c,Kepler-290,5147.00,0.74,,
Kepler-290 c,Kepler-290,5142.00,0.76,0.84,
Kepler-290 c,Kepler-290,4881.00,0.71,0.80,
Kepler-290 c,Kepler-290,5153.00,0.76,0.85,
Kepler-290 c,Kepler-290,4962.00,0.71,,
Kepler-290 c,Kepler-290,5153.00,0.76,0.85,
Kepler-290 c,Kepler-290,5153.00,0.76,0.85,
Kepler-290 c,Kepler-290,4958.00,0.75,0.79,
Kepler-291 b,Kepler-291,5482.00,1.20,0.96,
Kepler-291 b,Kepler-291,5934.00,0.91,1.01,
Kepler-291 b,Kepler-291,6002.00,1.02,,
Kepler-291 b,Kepler-291,5993.00,0.99,1.09,
Kepler-291 b,Kepler-291,5536.00,0.87,0.90,
Kepler-291 b,Kepler-291,5482.00,1.20,0.96,
Kepler-291 b,Kepler-291,5993.00,0.99,1.09,
Kepler-291 b,Kepler-291,5993.00,0.99,1.09,
Kepler-291 b,Kepler-291,5993.00,0.99,1.09,
Kepler-291 b,Kepler-291,5637.00,1.23,,
Kepler-291 c,Kepler-291,5482.00,1.20,0.96,
Kepler-291 c,Kepler-291,5637.00,1.23,,
Kepler-291 c,Kepler-291,5993.00,0.99,1.09,
Kepler-291 c,Kepler-291,5993.00,0.99,1.09,
Kepler-291 c,Kepler-291,5934.00,0.91,1.01,
Kepler-291 c,Kepler-291,6002.00,1.02,,
Kepler-291 c,Kepler-291,5536.00,0.87,0.90,
Kepler-291 c,Kepler-291,5993.00,0.99,1.09,
Kepler-291 c,Kepler-291,5993.00,0.99,1.09,
Kepler-291 c,Kepler-291,5482.00,1.20,0.96,
Kepler-292 b,Kepler-292,5447.00,0.88,0.83,
Kepler-292 b,Kepler-292,5248.00,0.83,,
Kepler-292 b,Kepler-292,5513.00,0.92,0.92,
Kepler-292 b,Kepler-292,5296.00,0.81,0.82,
Kepler-292 b,Kepler-292,5513.00,0.92,0.92,
Kepler-292 b,Kepler-292,5193.00,0.84,0.88,
Kepler-292 b,Kepler-292,5282.00,0.81,0.85,
Kepler-292 b,Kepler-292,5193.00,0.84,0.88,
Kepler-292 b,Kepler-292,5513.00,0.92,0.92,
Kepler-292 b,Kepler-292,5299.00,0.83,,
Kepler-292 c,Kepler-292,5193.00,0.84,0.88,
Kepler-292 c,Kepler-292,5513.00,0.92,0.92,
Kepler-292 c,Kepler-292,5193.00,0.84,0.88,
Kepler-292 c,Kepler-292,5248.00,0.83,,
Kepler-292 c,Kepler-292,5299.00,0.83,,
Kepler-292 c,Kepler-292,5282.00,0.81,0.85,
Kepler-292 c,Kepler-292,5513.00,0.92,0.92,
Kepler-292 c,Kepler-292,5513.00,0.92,0.92,
Kepler-292 c,Kepler-292,5296.00,0.81,0.82,
Kepler-292 c,Kepler-292,5447.00,0.88,0.83,
Kepler-292 d,Kepler-292,5513.00,0.92,0.92,
Kepler-292 d,Kepler-292,5513.00,0.92,0.92,
Kepler-292 d,Kepler-292,5282.00,0.81,0.85,
Kepler-292 d,Kepler-292,5248.00,0.83,,
Kepler-292 d,Kepler-292,5299.00,0.83,,
Kepler-292 d,Kepler-292,5193.00,0.84,0.88,
Kepler-292 d,Kepler-292,5193.00,0.84,0.88,
Kepler-292 d,Kepler-292,5193.00,0.84,0.88,
Kepler-292 d,Kepler-292,5447.00,0.88,0.83,
Kepler-292 d,Kepler-292,5296.00,0.81,0.82,
Kepler-292 d,Kepler-292,5513.00,0.92,0.92,
Kepler-292 e,Kepler-292,5193.00,0.84,0.88,
Kepler-292 e,Kepler-292,5513.00,0.92,0.92,
Kepler-292 e,Kepler-292,5513.00,0.92,0.92,
Kepler-292 e,Kepler-292,5296.00,0.81,0.82,
Kepler-292 e,Kepler-292,5513.00,0.92,0.92,
Kepler-292 e,Kepler-292,5299.00,0.83,,
Kepler-292 e,Kepler-292,5447.00,0.88,0.83,
Kepler-292 e,Kepler-292,5193.00,0.84,0.88,
Kepler-292 e,Kepler-292,5193.00,0.84,0.88,
Kepler-292 e,Kepler-292,5248.00,0.83,,
Kepler-292 e,Kepler-292,5282.00,0.81,0.85,
Kepler-292 f,Kepler-292,5296.00,0.81,0.82,
Kepler-292 f,Kepler-292,5447.00,0.88,0.83,
Kepler-292 f,Kepler-292,5513.00,0.92,0.92,
Kepler-292 f,Kepler-292,5513.00,0.92,0.92,
Kepler-292 f,Kepler-292,5193.00,0.84,0.88,
Kepler-292 f,Kepler-292,5282.00,0.81,0.85,
Kepler-292 f,Kepler-292,5513.00,0.92,0.92,
Kepler-292 f,Kepler-292,5193.00,0.84,0.88,
Kepler-292 f,Kepler-292,5299.00,0.83,,
Kepler-292 f,Kepler-292,5248.00,0.83,,
Kepler-292 f,Kepler-292,5193.00,0.84,0.88,
Kepler-293 b,Kepler-293,5798.00,0.94,1.04,
Kepler-293 b,Kepler-293,5804.00,0.96,,
Kepler-293 b,Kepler-293,5412.00,0.87,0.94,
Kepler-293 b,Kepler-293,5483.00,0.85,,
Kepler-293 b,Kepler-293,5798.00,0.94,1.04,
Kepler-293 b,Kepler-293,5412.00,0.87,0.94,
Kepler-293 b,Kepler-293,5412.00,0.87,0.94,
Kepler-293 b,Kepler-293,5798.00,0.94,1.04,
Kepler-293 b,Kepler-293,5547.00,0.92,0.94,
Kepler-293 b,Kepler-293,5798.00,0.94,1.04,
Kepler-293 b,Kepler-293,5714.00,0.85,0.95,
Kepler-293 c,Kepler-293,5412.00,0.87,0.94,
Kepler-293 c,Kepler-293,5798.00,0.94,1.04,
Kepler-293 c,Kepler-293,5804.00,0.96,,
Kepler-293 c,Kepler-293,5798.00,0.94,1.04,
Kepler-293 c,Kepler-293,5798.00,0.94,1.04,
Kepler-293 c,Kepler-293,5547.00,0.92,0.94,
Kepler-293 c,Kepler-293,5798.00,0.94,1.04,
Kepler-293 c,Kepler-293,5412.00,0.87,0.94,
Kepler-293 c,Kepler-293,5714.00,0.85,0.95,
Kepler-293 c,Kepler-293,5412.00,0.87,0.94,
Kepler-293 c,Kepler-293,5483.00,0.85,,
Kepler-294 b,Kepler-294,5870.00,0.89,0.99,
Kepler-294 b,Kepler-294,5910.00,0.94,1.03,
Kepler-294 b,Kepler-294,5459.00,0.94,0.95,
Kepler-294 b,Kepler-294,5913.00,0.98,,
Kepler-294 b,Kepler-294,5513.00,0.94,,
Kepler-294 b,Kepler-294,5910.00,0.94,1.03,
Kepler-294 b,Kepler-294,5459.00,0.94,0.95,
Kepler-294 b,Kepler-294,5616.00,0.90,1.01,
Kepler-294 b,Kepler-294,5559.00,0.93,0.95,
Kepler-294 b,Kepler-294,5910.00,0.94,1.03,
Kepler-294 c,Kepler-294,5910.00,0.94,1.03,
Kepler-294 c,Kepler-294,5559.00,0.93,0.95,
Kepler-294 c,Kepler-294,5459.00,0.94,0.95,
Kepler-294 c,Kepler-294,5870.00,0.89,0.99,
Kepler-294 c,Kepler-294,5459.00,0.94,0.95,
Kepler-294 c,Kepler-294,5910.00,0.94,1.03,
Kepler-294 c,Kepler-294,5913.00,0.98,,
Kepler-294 c,Kepler-294,5616.00,0.90,1.01,
Kepler-294 c,Kepler-294,5910.00,0.94,1.03,
Kepler-294 c,Kepler-294,5459.00,0.94,0.95,
Kepler-294 c,Kepler-294,5513.00,0.94,,
Kepler-295 b,Kepler-295,5631.00,0.94,0.89,
Kepler-295 b,Kepler-295,5327.00,2.38,,
Kepler-295 b,Kepler-295,5327.00,2.38,,
Kepler-295 b,Kepler-295,5607.00,0.89,0.80,
Kepler-295 b,Kepler-295,5603.00,0.90,,
Kepler-295 b,Kepler-295,5607.00,0.89,0.80,
Kepler-295 b,Kepler-295,5607.00,0.89,0.80,
Kepler-295 b,Kepler-295,5411.00,0.86,0.89,
Kepler-295 b,Kepler-295,5607.00,0.89,0.80,
Kepler-295 b,Kepler-295,5253.00,2.36,,
Kepler-295 c,Kepler-295,5411.00,0.86,0.89,
Kepler-295 c,Kepler-295,5253.00,2.36,,
Kepler-295 c,Kepler-295,5327.00,2.38,,
Kepler-295 c,Kepler-295,5607.00,0.89,0.80,
Kepler-295 c,Kepler-295,5631.00,0.94,0.89,
Kepler-295 c,Kepler-295,5603.00,0.90,,
Kepler-295 c,Kepler-295,5607.00,0.89,0.80,
Kepler-295 c,Kepler-295,5607.00,0.89,0.80,
Kepler-295 c,Kepler-295,5607.00,0.89,0.80,
Kepler-295 c,Kepler-295,5327.00,2.38,,
Kepler-295 c,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5603.00,0.90,,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5607.00,0.89,0.80,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5631.00,0.94,0.89,
Kepler-295 d,Kepler-295,5327.00,2.38,,
Kepler-295 d,Kepler-295,5253.00,2.36,,
Kepler-295 d,Kepler-295,5411.00,0.86,0.89,
Kepler-296 b,Kepler-296,3862.00,0.50,0.52,
Kepler-296 b,Kepler-296,,,,
Kepler-296 b,Kepler-296,,,,
Kepler-296 b,Kepler-296,3517.00,0.37,0.38,
Kepler-296 b,Kepler-296,3517.00,0.37,0.38,
Kepler-296 b,Kepler-296,3517.00,0.37,0.38,
Kepler-296 b,Kepler-296,3558.00,0.37,0.38,
Kepler-296 b,Kepler-296,3526.00,0.38,0.39,
Kepler-296 b,Kepler-296,3424.00,0.22,0.21,
Kepler-296 b,Kepler-296,3622.00,0.45,0.48,
Kepler-296 b,Kepler-296,3517.00,0.37,0.38,
Kepler-296 b,Kepler-296,3740.00,0.48,0.50,
Kepler-296 b,Kepler-296,3821.00,0.59,0.63,
Kepler-296 b,Kepler-296,4249.00,0.56,,
Kepler-296 c,Kepler-296,3517.00,0.37,0.38,
Kepler-296 c,Kepler-296,3517.00,0.37,0.38,
Kepler-296 c,Kepler-296,,,,
Kepler-296 c,Kepler-296,,,,
Kepler-296 c,Kepler-296,,,,
Kepler-296 c,Kepler-296,3622.00,0.45,0.48,
Kepler-296 c,Kepler-296,3517.00,0.37,0.38,
Kepler-296 c,Kepler-296,3862.00,0.50,0.52,
Kepler-296 c,Kepler-296,3424.00,0.22,0.21,
Kepler-296 c,Kepler-296,3821.00,0.59,0.63,
Kepler-296 c,Kepler-296,3517.00,0.37,0.38,
Kepler-296 c,Kepler-296,3558.00,0.37,0.38,
Kepler-296 c,Kepler-296,4249.00,0.56,,
Kepler-296 c,Kepler-296,3740.00,0.48,0.50,
Kepler-296 c,Kepler-296,3526.00,0.38,0.39,
Kepler-296 d,Kepler-296,3821.00,0.59,0.63,
Kepler-296 d,Kepler-296,3526.00,0.38,0.39,
Kepler-296 d,Kepler-296,3862.00,0.50,0.52,
Kepler-296 d,Kepler-296,3517.00,0.37,0.38,
Kepler-296 d,Kepler-296,3424.00,0.22,0.21,
Kepler-296 d,Kepler-296,3517.00,0.37,0.38,
Kepler-296 d,Kepler-296,4249.00,0.56,,
Kepler-296 d,Kepler-296,3517.00,0.37,0.38,
Kepler-296 d,Kepler-296,3558.00,0.37,0.38,
Kepler-296 d,Kepler-296,3622.00,0.45,0.48,
Kepler-296 d,Kepler-296,3740.00,0.48,0.50,
Kepler-296 d,Kepler-296,3517.00,0.37,0.38,
Kepler-296 d,Kepler-296,,,,
Kepler-296 d,Kepler-296,,,,
Kepler-296 d,Kepler-296,,,,
Kepler-296 e,Kepler-296,3740.00,0.48,0.50,
Kepler-296 e,Kepler-296,3517.00,0.37,0.38,
Kepler-296 e,Kepler-296,3526.00,0.38,0.39,
Kepler-296 e,Kepler-296,,,,
Kepler-296 e,Kepler-296,3572.00,0.43,0.45,
Kepler-296 e,Kepler-296,,,,
Kepler-296 e,Kepler-296,3821.00,0.59,0.63,
Kepler-296 e,Kepler-296,,,,
Kepler-296 e,Kepler-296,3517.00,0.37,0.38,
Kepler-296 e,Kepler-296,3862.00,0.50,0.52,
Kepler-296 e,Kepler-296,3517.00,0.37,0.38,
Kepler-296 e,Kepler-296,4249.00,0.56,,
Kepler-296 e,Kepler-296,3558.00,0.37,0.38,
Kepler-296 f,Kepler-296,,,,
Kepler-296 f,Kepler-296,3517.00,0.37,0.38,
Kepler-296 f,Kepler-296,4249.00,0.56,,
Kepler-296 f,Kepler-296,,,,
